id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest
422200,,,,,,,,,In Processing,,,,
667523,30,99,99,97,119,30,29,30,Eligible,,,,
133729,,55,50,31,15,8,1,6,In Processing,3,6,13,22
980069,30,83,98,72,99,22,17,30,In Processing,,,,
404844,30,83,98,72,99,22,17,30,Eligible,,,,
10903,30,85,99,99,113,23,30,30,Eligible,,,,
947694,30,79,99,99,110,20,30,30,Eligible,,,,
710008,,47,86,44,31,4,3,24,In Processing,5,1,16,22
792116,,67,95,60,53,14,11,28,In Processing,,,,
825239,,68,62,50,33,15,6,12,In Processing,,,,
369218,,33,54,69,24,1,15,8,In Processing,9,20,6,35
78949,30,79,99,97,109,20,29,30,Eligible,,,,
82581,30,76,85,97,101,19,29,23,Eligible,,,,
953741,30,95,90,99,114,28,30,26,,,,,
819091,30,93,99,99,117,27,30,30,Eligible,,,,
886498,30,99,99,99,120,30,30,30,Eligible,,,,
880895,17,96,82,96,97,29,29,22,Eligible,,,,
944543,,70,61,76,46,16,19,11,In Processing,12,19,3,34
327653,30,82,99,76,101,22,19,30,Eligible,,,,
652702,,64,67,38,28,13,1,14,In Processing,,,,
220101,27,78,92,92,101,20,27,27,Eligible,,,,
449852,,,,,,,,,In Processing,,,,
391688,30,76,83,83,93,19,22,22,Eligible,,,,
254252,30,82,80,96,102,22,29,21,Eligible,,,,
49421,,61,79,46,35,11,4,20,In Processing,1,2,7,10
701498,30,88,86,71,95,25,16,24,Eligible,,,,
320896,,,,,,,,,In Processing,,,,
251386,30,79,77,65,82,20,13,19,Eligible,19,18,21,88
455837,30,86,99,96,113,24,29,30,Eligible,,,,
980215,30,83,98,96,111,22,29,30,Eligible,,,,
378168,30,88,94,85,106,25,23,28,Eligible,,,,
911727,30,76,99,99,109,19,30,30,Eligible,,,,
985097,,54,43,45,13,8,3,2,In Processing,,,,
141542,,52,13,30,9,7,1,1,In Processing,,,,
334990,30,52,98,91,93,7,26,30,Eligible,,,,
249246,,48,56,46,18,5,4,9,In Processing,,,,
194721,,,,,,,,,In Processing,,,,
97746,,79,98,70,66,20,16,30,In Processing,,,,
2473,30,99,99,99,120,30,30,30,Eligible,,,,
690611,30,83,99,98,112,22,30,30,Eligible,,,,
335184,30,88,71,90,97,25,26,16,Eligible,,,,
883497,29,96,74,66,90,29,14,18,Eligible,,,,
936848,23,76,99,98,102,19,30,30,Eligible,,,,
155464,30,80,96,99,110,21,30,29,Eligible,,,,
829586,,35,81,54,30,1,8,21,In Processing,,,,
585551,30,75,99,83,100,18,22,30,Eligible,,,,
58704,30,92,96,89,111,27,25,29,Eligible,,,,
818618,,40,46,63,17,1,12,4,In Processing,,,,
190627,30,84,85,99,106,23,30,23,Eligible,,,,
893784,30,82,99,98,112,22,30,30,Eligible,,,,
356416,30,85,99,99,113,23,30,30,Eligible,,,,
999082,,90,62,52,45,26,7,12,In Processing,,,,
556562,30,87,99,96,113,24,29,30,Eligible,,,,
