ID,Field,Old Value,New Value
1,total_points,,0
1,gpa,,0
1,matrix_gpa,,0
1,total_points_retest,,0
2,total_points_retest,,119
2,language_test_scores2,,99
2,matrix_languauge_retest,,30
2,reading_test_score2,,99
2,matrix_reading_restest,,30
2,math_test_scores2,,97
2,matrix_math_retest,,29
4,total_points_retest,,99
4,language_test_scores2,,83
4,matrix_languauge_retest,,22
4,reading_test_score2,,98
4,matrix_reading_restest,,30
4,math_test_scores2,,72
4,matrix_math_retest,,17
5,total_points_retest,,99
5,language_test_scores2,,83
5,matrix_languauge_retest,,22
5,reading_test_score2,,98
5,matrix_reading_restest,,30
5,math_test_scores2,,72
5,matrix_math_retest,,17
6,total_points_retest,,113
6,language_test_scores2,,85
6,matrix_languauge_retest,,23
6,reading_test_score2,,99
6,matrix_reading_restest,,30
6,math_test_scores2,,99
6,matrix_math_retest,,30
7,total_points_retest,,110
7,language_test_scores2,,79
7,matrix_languauge_retest,,20
7,reading_test_score2,,99
7,matrix_reading_restest,,30
7,math_test_scores2,,99
7,matrix_math_retest,,30
9,total_points_retest,,53
9,language_test_scores2,,67
9,matrix_languauge_retest,,14
9,reading_test_score2,,95
9,matrix_reading_restest,,28
9,math_test_scores2,,60
9,matrix_math_retest,,11
10,total_points_retest,,33
10,language_test_scores2,,68
10,matrix_languauge_retest,,15
10,reading_test_score2,,62
10,matrix_reading_restest,,12
10,math_test_scores2,,50
10,matrix_math_retest,,6
12,total_points_retest,,109
12,language_test_scores2,,79
12,matrix_languauge_retest,,20
12,reading_test_score2,,99
12,matrix_reading_restest,,30
12,math_test_scores2,,97
12,matrix_math_retest,,29
13,total_points_retest,,101
13,language_test_scores2,,76
13,matrix_languauge_retest,,19
13,reading_test_score2,,85
13,matrix_reading_restest,,23
13,math_test_scores2,,97
13,matrix_math_retest,,29
14,total_points_retest,,114
14,language_test_scores2,,95
14,matrix_languauge_retest,,28
14,reading_test_score2,,90
14,matrix_reading_restest,,26
14,math_test_scores2,,99
14,matrix_math_retest,,30
15,total_points_retest,,117
15,language_test_scores2,,93
15,matrix_languauge_retest,,27
15,reading_test_score2,,99
15,matrix_reading_restest,,30
15,math_test_scores2,,99
15,matrix_math_retest,,30
16,total_points_retest,,120
16,language_test_scores2,,99
16,matrix_languauge_retest,,30
16,reading_test_score2,,99
16,matrix_reading_restest,,30
16,math_test_scores2,,99
16,matrix_math_retest,,30
17,total_points_retest,,97
17,language_test_scores2,,96
17,matrix_languauge_retest,,29
17,reading_test_score2,,82
17,matrix_reading_restest,,22
17,math_test_scores2,,96
17,matrix_math_retest,,29
19,total_points_retest,,101
19,language_test_scores2,,82
19,matrix_languauge_retest,,22
19,reading_test_score2,,99
19,matrix_reading_restest,,30
19,math_test_scores2,,76
19,matrix_math_retest,,19
20,total_points_retest,,28
20,language_test_scores2,,64
20,matrix_languauge_retest,,13
20,reading_test_score2,,67
20,matrix_reading_restest,,14
20,math_test_scores2,,38
20,matrix_math_retest,,1
21,total_points_retest,,101
21,language_test_scores2,,78
21,matrix_languauge_retest,,20
21,reading_test_score2,,92
21,matrix_reading_restest,,27
21,math_test_scores2,,92
21,matrix_math_retest,,27
22,total_points,,0
23,total_points_retest,,93
23,language_test_scores2,,76
23,matrix_languauge_retest,,19
23,reading_test_score2,,83
23,matrix_reading_restest,,22
23,math_test_scores2,,83
23,matrix_math_retest,,22
24,total_points_retest,,102
24,language_test_scores2,,82
24,matrix_languauge_retest,,22
24,reading_test_score2,,80
24,matrix_reading_restest,,21
24,math_test_scores2,,96
24,matrix_math_retest,,29
26,total_points_retest,,95
26,language_test_scores2,,88
26,matrix_languauge_retest,,25
26,reading_test_score2,,86
26,matrix_reading_restest,,24
26,math_test_scores2,,71
26,matrix_math_retest,,16
27,total_points,,0
29,total_points_retest,,113
29,language_test_scores2,,86
29,matrix_languauge_retest,,24
29,reading_test_score2,,99
29,matrix_reading_restest,,30
29,math_test_scores2,,96
29,matrix_math_retest,,29
30,total_points_retest,,111
30,language_test_scores2,,83
30,matrix_languauge_retest,,22
30,reading_test_score2,,98
30,matrix_reading_restest,,30
30,math_test_scores2,,96
30,matrix_math_retest,,29
31,total_points_retest,,106
31,language_test_scores2,,88
31,matrix_languauge_retest,,25
31,reading_test_score2,,94
31,matrix_reading_restest,,28
31,math_test_scores2,,85
31,matrix_math_retest,,23
32,total_points_retest,,109
32,language_test_scores2,,76
32,matrix_languauge_retest,,19
32,reading_test_score2,,99
32,matrix_reading_restest,,30
32,math_test_scores2,,99
32,matrix_math_retest,,30
33,total_points_retest,,13
33,language_test_scores2,,54
33,matrix_languauge_retest,,8
33,reading_test_score2,,43
33,matrix_reading_restest,,2
33,math_test_scores2,,45
33,matrix_math_retest,,3
34,total_points_retest,,9
34,language_test_scores2,,52
34,matrix_languauge_retest,,7
34,reading_test_score2,,13
34,matrix_reading_restest,,1
34,math_test_scores2,,30
34,matrix_math_retest,,1
35,total_points_retest,,93
35,language_test_scores2,,52
35,matrix_languauge_retest,,7
35,reading_test_score2,,98
35,matrix_reading_restest,,30
35,math_test_scores2,,91
35,matrix_math_retest,,26
36,total_points_retest,,18
36,language_test_scores2,,48
36,matrix_languauge_retest,,5
36,reading_test_score2,,56
36,matrix_reading_restest,,9
36,math_test_scores2,,46
36,matrix_math_retest,,4
37,total_points,,0
38,total_points_retest,,66
38,language_test_scores2,,79
38,matrix_languauge_retest,,20
